Voc,Jsc,FF,PCE,Cs,MA,FA,Pb,Sn,I,Br,BG,CBO,VBO,arch_nip,arch_pin,h_mobility,e_mobility,CBM,VBM,ETL_CBM,HTL_VBM,Reference
0.96,18.31,0.763,13.38,0,1,0,1,0,3,0,1.6,0.15,0.1,0,1,0.00033,0.00158,-3.8,-5.4,-3.65,-5.3,10.1002/ange.201604399
0.94,19.69,0.758,13.95,0,1,0,1,0,3,0,1.6,0.13,0.1,0,1,0.00033,0.00136,-3.8,-5.4,-3.67,-5.3,10.1002/ange.201604399
1.08,20.73,0.786,17.62,0,1,0,1,0,3,0,1.6,-0.12,0.1,0,1,0.00033,0.00513,-3.8,-5.4,-3.92,-5.3,10.1002/ange.201604399
1,19.44,0.742,14.42,0,1,0,1,0,3,0,1.6,-0.36,0.1,0,1,0.00033,0.00234,-3.8,-5.4,-4.16,-5.3,10.1002/ange.201604399
1.24,14.49,0.76,13.75,1,0,0,1,0,2,1,1.91,-0.31,0.38,1,0,0.000465,2.93E-05,-3.69,-5.6,-4,-5.22,10.1016/j.solmat.2019.110052
1.078,20.92,0.7205,16.25,0,1,0,1,0,3,0,1.5,-0.3,0.2,1,0,0.000465,0.00065,-3.9,-5.4,-4.2,-5.2,10.1002/solr.201900154
0.95,22.34,0.73,15.2,0,1,0,1,0,3,0,1.53,-0.07,0.18,1,0,0.00012,2.93E-05,-3.93,-5.46,-4,-5.28,10.1039/c8ta11361k
0.98,22.34,0.751,16,0,1,0,1,0,3,0,1.53,-0.07,0.05,1,0,0.00016,2.93E-05,-3.93,-5.46,-4,-5.41,10.1039/c8ta11361k
1.06,22.41,0.77,18,0,1,0,1,0,3,0,1.53,-0.07,-0.13,1,0,0.00023,2.93E-05,-3.93,-5.46,-4,-5.59,10.1039/c8ta11361k
1.03,21.46,0.693,15.2,0,1,0,1,0,3,0,1.53,-0.07,0.24,1,0,0.000465,2.93E-05,-3.93,-5.46,-4,-5.22,10.1039/c8ta11361k
1.1,24,0.746,19.69,0.05,0.1425,0.8075,1,0,2.55,0.45,1.6,-0.55,0.15,1,0,0.000219,0.000992,-3.8,-5.4,-4.35,-5.25,10.1021/acsami.9b17386
1.094,24.1,0.7136,18.89,0.05,0.1425,0.8075,1,0,2.55,0.45,1.6,-0.55,0.15,1,0,0.000208,0.000992,-3.8,-5.4,-4.35,-5.25,10.1021/acsami.9b17386
1.09,24.27,0.752,19.89,0.05,0.1425,0.8075,1,0,2.55,0.45,1.6,-0.55,0.18,1,0,0.000465,0.000992,-3.8,-5.4,-4.35,-5.22,10.1021/acsami.9b17386
